,Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
38,39,Derrick Henry,TEN,RB,15,110,490,4.5,5,15,13,137,0,0,0,6.2,92.7
39,40,Duke Johnson,CLE,RB,16,73,358,4.9,1,74,53,514,0,2,1,5.7,91.2
40,41,Nick Bellore,SF,RB,14,0,0,0.0,0,0,0,0,0,0,0,6.5,90.9
41,42,TJ Yeldon,JAX,RB,15,130,465,3.6,1,68,50,312,1,2,1,5.8,87.7
42,43,Jalen Richard,OAK,RB,16,83,492,5.9,1,39,29,194,2,0,0,5.4,86.6
43,44,CJ Anderson,DEN,RB,7,110,437,4.0,4,24,16,128,1,0,0,12.4,86.5
44,45,Giovani Bernard,CIN,RB,10,91,337,3.7,2,51,39,336,1,1,1,8.3,83.3
45,46,Robert Turbin,IND,RB,15,47,164,3.5,7,35,26,179,1,0,0,5.5,82.3
46,47,DeAngelo Williams,PIT,RB,9,98,343,3.5,4,27,18,118,2,0,0,9.1,82.1
47,48,Shaun Draughn,SF,RB,16,74,196,2.6,4,39,29,263,2,1,1,5.0,79.9
48,49,Jacquizz Rodgers,TB,RB,10,129,560,4.3,2,16,13,98,0,0,0,7.8,77.8
49,50,Zach Zenner,DET,RB,14,88,334,3.8,4,23,18,196,0,1,1,5.4,75.0
50,51,Chris Ivory,JAX,RB,11,117,439,3.8,3,28,20,186,0,6,3,6.8,74.5
51,52,Kenneth Dixon,BAL,RB,12,88,382,4.3,2,41,30,162,1,1,0,6.0,72.4
52,53,Doug Martin,TB,RB,8,144,421,2.9,3,16,14,134,0,1,1,8.9,71.5
53,54,Damien Williams,MIA,RB,15,35,115,3.3,3,31,23,249,3,1,1,4.7,70.4
54,55,Deandre Washington,OAK,RB,14,87,467,5.4,2,23,17,115,0,1,1,4.9,68.2
55,56,Matt Jones,WAS,RB,7,99,460,4.6,3,8,8,73,0,3,2,9.6,67.3
56,57,Charcandrick West,KC,RB,15,88,293,3.3,1,34,28,188,2,0,0,4.4,66.1
57,58,Thomas Rawls,SEA,RB,9,109,349,3.2,3,17,13,96,0,0,0,6.9,62.5
58,59,Paul Perkins,NYG,RB,14,112,456,4.1,0,24,15,162,0,1,0,4.4,61.8
