,Name,SnapsPlayed
38,Chris Conte,713
39,Clayton Geathers,561
40,Ken Crawley,503
41,Quandre Diggs,420
42,Leon Hall,383
43,Michael Griffin,285
44,Quintin Demps,698
45,Trae Waynes,579
46,Tyvon Branch,270
47,Leodis McKelvin,587
48,Damarious Randall,497
49,AJ Bouye,725
50,Karl Joseph,593
51,Jalen Collins,424
52,Xavier Rhodes,786
53,Harold Jones-Quartey,731
54,Jimmie Ward,668
55,Harrison Smith,893
56,DJ Swearinger,837
57,Brad McDougald,1012
58,Donte Whitner,566
59,EJ Gaines,613
60,Darius Butler,472
61,Travis Carrie,325
62,Shawn Williams,912
63,Vonn Bell,891
64,Daryl Worley,866
65,Kareem Jackson,724
66,Orlando Scandrick,643
67,Antoine Bethea,1126
68,Lamarcus Joyner,699
69,Robert McClain,326
70,Casey Hayward,986
71,Jason McCourty,813
72,Nickell Robey,573
73,Marcus Williams,457
74,Eric Berry,1085
75,Artie Burns,810
76,Rashaan Melvin,655
77,Duke Ihenacho,636
78,Trevin Wade,355
79,Keith Reaser,353
80,Terrance Mitchell,240
81,Devante Bausby,115
82,Kevin Byard,655
83,Daimion Stafford,614
84,Demontre Hurst,223
85,Eric Weddle,1030
86,Malcolm Jenkins,1019
87,Bradley Roby,691
88,PJ Williams,82
89,Rodney McLeod,1014
90,Byron Maxwell,846
91,Michael Thomas,572
92,Jordan Poyer,354
93,Ha'Sean Clinton-Dix,1031
94,Malcolm Butler,1007
95,Brent Grimes,997
96,Byron Jones,985
97,DeShawn Shead,918
98,Eric Reid,743
99,Darius Slay,731
100,Perrish Cox,623
101,Jaquiski Tartt,615
102,James Ihedigbo,146
103,Ronald Darby,824
104,Jalen Mills,661
105,DJ Hayden,477
106,Mike Adams,998
107,Eli Apple,701
108,Cre'von Leblanc,695
109,Bobby McCain,620
110,Ibraheim Campbell,419
111,Steve Williams,218
112,Brian Poole,835
113,Micah Hyde,821
114,JJ Wilcox,557
115,Da'Norris Searcy,555
116,Trevor Williams,389
117,Aaron Williams,339
118,Janoris Jenkins,956
119,Kevin Johnson,289
120,Darryl Roberts,284
121,Jairus Byrd,893
122,James Bradberry,798
123,Morris Claiborne,406
124,Josh Norman,1059
125,Jerraud Powers,508
126,TJ Green,479
127,Marcus Peters,1010
128,Tyrann Mathieu,560
129,Devin McCourty,1021
130,Isa Abdul-Quddus,951
131,Shareece Wright,673
132,Jalen Ramsey,1059
133,Reggie Nelson,1049
134,Corey Graham,1055
135,Steven Nelson,1012
136,Tre Boston,840
137,Sterling Moore,806
138,Earl Thomas,693
139,Bacarri Rambo,469
140,Craig Mager,408
141,Kelcie McCray,338
142,David Amerson,960
143,Captain Munnerlyn,637
144,Aaron Colvin,292
145,Bene' Benwikere,197
146,Corey White,413
147,Jaylen Watkins,388
148,Robert Blanton,270
149,Vernon Hargreaves,1037
150,Xavien Howard,528
151,Kendall Fuller,478
152,Robert Golden,377
153,DeAngelo Hall,166
154,Mike Mitchell,1004
155,Jamar Taylor,920
156,Ladarius Gunter,861
157,Andrew Sendejo,855
158,William Gay,844
159,Tavon Young,832
160,Johnathan Joseph,623
161,Patrick Chung,1005
162,Dwight Lowery,1003
163,Derrick Kindred,537
164,Ed Reynolds,505
165,Darian Stewart,1087
166,Robert Alford,1080
167,Lardarius Webb,998
168,Trumaine Johnson,953
169,Calvin Pryor,812
170,Antonio Cromartie,203
171,Ricardo Allen,1101
172,Anthony Brown,717
173,Adrian Amos,939
174,Chris Harris,1099
175,TJ McDonald,1069
176,Glover Quin,1027
177,Patrick Robinson,401
178,Delvin Breaux,296
179,Harlan Miller,139
180,Desmond Trufant,591
181,Bryce Callahan,488
182,Asa Jackson,93
183,Darian Thompson,87
184,Richard Sherman,1053
185,George Iloka,1050
186,Ross Cockrell,1025
187,Aqib Talib,871
188,Quinten Rollins,704
189,Josh Shaw,618
190,Will Blackmon,573
191,Stephon Gilmore,984
192,Joe Haden,855
193,Marcus Gilchrist,818
194,Eric Rowe,452
195,Leonard Johnson,436
196,Adrian Phillips,543
197,Ron Parker,1106
198,Andre Hal,817
