Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2016,Josh Doctson,TCU,WR,5.83,74,31.875,202,9.875,4.5,14,41,131,6.84,4.08,11.06
2016,Sterling Shepard,Oklahoma,WR,5.77,70,30.375,194,9.75,4.48,20,41,123,7,4.35,
2016,Pharoh Cooper,South Carolina,WR,5.69,71,32.25,203,9.125,,15,31,115,,,
2016,Demarcus Robinson,Florida,WR,5.65,73,33,203,9.5,4.59,,34.5,123,6.77,4.19,
2016,Braxton Miller,Ohio State,WR,5.61,73,31.75,201,9.125,4.5,17,35,123,6.65,4.07,10.84
2016,Rashard Higgins,Colorado State,WR,5.48,73,32.25,196,9.75,4.64,13,32,116,,,
2016,Kenny Lawler,California,WR,5.46,74,33.375,203,10.5,4.64,,31,111,7.13,4.2,11.28
2016,Bralon Addison,Oregon,WR,5.45,69,29.5,197,9.125,4.66,13,34.5,116,6.95,4.14,11.53
2016,Aaron Burbridge,Michigan State,WR,5.44,72,31.625,206,8.25,4.56,20,30.5,115,7.22,4.31,11.9
2016,De'Runnya Wilson,Mississippi State,WR,5.44,77,33.875,224,9.25,4.85,,28,113,,,
2016,Jalin Marshall,Ohio State,WR,5.44,70,31.5,200,9.625,4.6,16,37.5,125,6.8,4.13,
2016,Devon Cajuste,Stanford,WR,5.43,76,33,234,10.75,4.62,12,36,123,6.49,4.2,11.5
2016,Tajae Sharpe,UMass,WR,5.42,74,32.25,194,8.375,4.55,11,33.5,114,,,
2016,Nelson Spruce,Colorado,WR,5.38,73,30,206,10,4.69,12,35,114,7.09,4.2,11.9
2016,Hunter Sharp,Utah State,WR,5.37,71,31.625,198,9.375,4.58,12,32.5,116,7.12,4.19,11.4
2016,D'haquille Williams,Auburn,WR,5.36,74,32.5,229,9.25,4.72,14,30,121,7.43,4.47,
2016,Leonte Carroo,Rutgers,WR,5.34,72,31.375,211,9.625,4.5,14,35.5,120,,,
2016,Malcolm Mitchell,Georgia,WR,5.34,72,32.625,198,10.5,4.45,15,36,129,6.94,4.34,
2016,Chris Moore,Cincinnati,WR,5.2,73,33.375,206,9.375,4.53,10,37,130,6.76,4.2,11.37
