Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
52,Patrick Peterson,ARI,CB,16,52,3,2,0,0,0,16,7,0,1,0,5.7,91.9
53,Terence Newman,CIN,CB,15,52,21,4,0,0,0,10,2,1,2,0,6.1,91.5
53,Antoine Cason,LAC,CB,16,62,11,1,0,0,0,11,2,2,0,0,5.7,91.5
55,George Wilson,BUF,SS,16,73,25,0,0,0,0,5,0,0,0,0,5.7,90.5
56,Keenan Lewis,PIT,CB,16,54,15,2,0,0,0,23,0,1,0,0,5.6,89.5
57,Buster Skrine,CLE,CB,16,65,8,3,0,0,1,11,0,0,1,0,5.4,87
58,Stephon Gilmore,BUF,CB,16,52,9,1,0,0,0,16,1,3,0,0,5.3,85.5
58,Jordan Babineaux,TEN,SS,16,59,29,0,0,0,2,6,1,0,0,0,5.3,85.5
58,Casey Hayward,GB,CB,16,35,13,1,0,0,1,21,6,1,0,0,5.3,85.5
61,Rahim Moore,DEN,FS,16,59,12,4,1,3,1,7,1,0,1,0,5.3,85.3
62,Kareem Jackson,HOU,SS,16,47,6,1,0,0,0,16,4,0,0,1,5.3,85
63,Carlos Rogers,SF,CB,16,50,6,2,1,7,2,7,1,0,3,1,5.3,84.7
64,Derek Cox,JAX,CB,12,55,5,1,0,0,0,11,4,1,0,0,7,84.5
65,Earl Thomas,SEA,FS,16,39,22,2,0,0,2,9,3,1,1,1,5.2,84
66,TJ Ward,CLE,SS,14,50,18,2,1,10,3,4,1,3,0,0,5.9,83
67,William Gay,ARI,FS,16,45,12,4,1,9,1,6,2,3,1,0,5.2,82.9
68,Sean Smith,MIA,CB,16,53,6,0,0,0,0,11,2,3,0,0,5.1,82
69,Champ Bailey,DEN,CB,16,61,5,3,0,0,0,9,2,0,0,0,5.1,81.5
70,Corey Webster,NYG,CB,16,52,6,0,0,0,0,13,4,0,0,0,5,80
70,Cassius Vaughn,IND,CB,16,58,8,0,0,0,0,9,1,0,0,1,5,80
72,Charles Godfrey,CAR,SS,15,44,25,2,0,0,0,6,2,0,1,1,5.3,79.5
72,Tramon Williams,GB,CB,16,52,9,1,0,0,0,16,2,0,0,0,5,79.5
72,Kyle Arrington,NE,CB,16,55,9,2,0,0,1,11,0,1,1,0,5,79.5
75,Joselio Hanson,OAK,CB,16,48,12,3,0,0,2,5,2,1,2,0,4.9,79
75,Chris Conte,CHI,FS,15,51,16,2,0,0,0,9,2,0,1,0,5.3,79
77,Captain Munnerlyn,CAR,CB,16,46,13,0,0,0,0,9,2,0,0,2,4.8,77.5
77,Johnathan Joseph,HOU,CB,14,52,5,0,0,0,0,11,2,0,0,1,5.5,77.5
79,Chris Houston,DET,CB,14,45,11,3,0,0,0,11,2,2,0,0,5.5,76.5
79,Brandon Carr,DAL,CB,16,48,5,0,0,0,0,11,3,0,0,1,4.8,76.5
81,Morris Claiborne,DAL,CB,15,43,12,1,0,0,0,8,1,1,2,1,5.1,76
81,Jamarca Sanford,MIN,SS,16,47,14,1,0,0,1,5,0,4,1,0,4.8,76
83,Asante Samuel,ATL,CB,15,34,2,0,0,0,0,19,5,0,0,1,5,75
84,Tarell Brown,SF,CB,16,52,5,0,0,0,0,14,2,0,0,0,4.7,74.5
84,Adrian Wilson,ARI,SS,15,39,15,5,3,20,4,5,1,1,0,0,5,74.5
86,Brandon Flowers,KC,CB,15,40,8,2,1,2,1,13,3,0,1,0,4.9,74.2
87,Robert McClain,ATL,CB,15,49,8,1,0,0,1,10,1,0,2,0,4.9,74
88,Dominique Rodgers-Cromartie,PHI,CB,16,43,8,0,0,0,0,17,3,0,0,0,4.6,73
89,Vontae Davis,IND,CB,10,46,5,4,1,3,1,7,3,0,0,0,7.2,71.8
90,Cortez Allen,PIT,CB,15,38,9,0,0,0,1,10,2,3,1,0,4.8,71.5
91,Josh Norman,CAR,CB,16,50,21,0,0,0,0,7,1,0,0,0,4.4,70.5
92,Usama Young,CLE,FS,13,36,16,1,1.5,10,2,7,3,0,1,0,5.4,70
93,Javier Arenas,KC,CB,16,53,7,1,0,0,0,8,0,2,0,0,4.3,69.5
93,Craig Dahl,LAR,SS,16,56,15,1,0,0,0,2,1,0,0,0,4.3,69.5
95,Joe Haden,CLE,CB,11,40,11,0,0,0,0,11,3,1,0,0,6.2,68.5
96,Nnamdi Asomugha,PHI,CB,16,47,8,2,0,0,0,12,1,0,0,0,4.2,68
97,Michael Huff,OAK,FS,16,37,19,2,0,0,0,13,2,0,0,0,4.2,67.5
97,Nate Allen,PHI,FS,15,56,13,1,0,0,0,4,0,0,0,0,4.5,67.5
97,Brandon Browner,SEA,SS,12,35,9,1,0,0,0,6,3,3,1,0,5.6,67.5
100,Mike Harris,JAX,CB,15,43,4,2,1,11,1,6,1,0,0,0,4.4,66.1
101,Steve Gregory,NE,FS,12,31,6,0,0,0,0,5,3,2,2,1,5.5,66
102,Leonard Johnson,TB,CB,16,32,5,3,0,0,0,9,3,1,1,1,4.1,65.5
102,Jabari Greer,NO,CB,14,36,15,0,0,0,0,13,3,0,0,0,4.7,65.5
104,EJ Biggers,TB,CB,13,39,10,2,1,8,0,7,1,2,0,0,5,64.8
105,Chris Culliver,SF,CB,16,35,7,0,0,0,0,13,2,1,1,0,4,63.5
106,Marcus Gilchrist,LAC,FS,16,46,9,5,1,7,3,2,0,0,0,0,4,63.2
107,Corey Graham,BAL,FS,16,36,18,1,0,0,0,8,2,1,0,0,3.9,63
108,Aqib Talib,NE,CB,10,33,7,1,0,0,0,10,2,0,1,1,6.2,62.5
108,Atari Bigby,LAC,SS,11,45,17,2,0,0,1,3,0,0,1,0,5.7,62.5
110,Alfonzo Dennard,NE,CB,10,34,1,2,0,0,0,7,3,1,0,1,6.2,61.5
111,Antonio Cromartie,NYJ,CB,16,30,5,1,0,0,0,13,3,0,0,1,3.8,61.3
112,Darius Butler,IND,FS,11,20,8,0,0,0,0,7,4,1,1,2,5.5,61
113,Prince Amukamara,NYG,CB,13,45,8,1,0,0,0,7,1,0,0,0,4.6,60
113,Josh Robinson,MIN,CB,16,49,4,0,0,0,0,3,2,0,0,0,3.8,60
115,Danny McCray,DAL,SS,15,43,20,1,0,0,0,2,1,0,0,0,3.9,59
116,Adam Jones,CIN,CB,16,32,5,2,1,6,1,9,0,1,0,0,3.6,58.1
117,Nolan Carroll,MIA,CB,14,41,6,2,1,5,0,5,0,1,0,0,4,56.5
118,Corey Lynch,LAC,SS,16,32,7,4,0,0,0,7,2,0,1,0,3.5,55.5
118,Kyle Wilson,NYJ,CB,16,41,7,1,0,0,0,4,1,1,0,0,3.5,55.5
120,Tony Carter,DEN,CB,15,20,4,0,0,0,0,12,2,0,1,2,3.7,55
121,Eric Wright,TB,CB,10,33,5,0,0,0,0,7,1,0,1,1,5.4,54.5
121,Tavon Wilson,NE,SS,16,25,11,0,0,0,0,6,4,0,2,0,3.4,54.5
123,Leon Hall,CIN,CB,14,23,14,1,0,0,0,11,2,0,0,1,3.9,54
123,Chris Crocker,CIN,SS,13,29,12,1,0,0,1,5,3,0,1,0,4.2,54
123,Matt Giordano,OAK,FS,16,36,12,0,0,0,1,5,2,0,0,0,3.4,54
126,Gerald Sensabaugh,DAL,FS,15,40,13,1,0,0,0,3,0,1,0,0,3.6,53.5
127,Nate Clements,CIN,SS,15,30,21,0,0,0,0,5,1,1,0,0,3.4,51.5
127,Chris Prosinski,JAX,FS,16,39,11,0,0,0,0,4,1,0,0,0,3.2,51.5
129,Jimmy Wilson,MIA,SS,15,30,5,3,2,14,3,4,0,1,0,0,3.4,50.9
130,Jerraud Powers,IND,CB,8,33,7,2,0,0,0,8,1,0,0,0,6.2,49.5
130,MD Jennings,GB,SS,16,32,13,0,0,0,0,2,1,0,0,1,3.1,49.5
130,Kelvin Hayden,CHI,CB,16,24,11,0,0,0,0,5,1,0,4,0,3.1,49.5
133,Charles Woodson,GB,SS,7,25,13,1,1.5,6,2,5,1,1,0,0,7,49.1
134,Isa Abdul-Quddus,NO,FS,15,28,10,0,0,0,0,7,2,0,1,0,3.3,49
134,Patrick Chung,NE,SS,12,29,14,2,0,0,0,5,2,0,0,0,4.1,49
134,Reed Doughty,WAS,FS,16,32,22,1,0,0,1,1,1,0,0,0,3.1,49
137,Haruki Nakamura,CAR,FS,13,28,17,1,0,0,1,4,2,0,0,0,3.7,48.1
138,Sam Shields,GB,CB,10,22,4,1,1,8,1,10,3,0,0,0,4.8,47.8
139,Jayron Hosley,NYG,CB,12,28,8,1,0,0,0,5,1,1,1,0,3.9,47
140,Ellis Lankster,NYJ,CB,15,24,5,2,1,2,1,6,2,1,0,0,3.1,46.7
141,Greg Toler,ARI,CB,11,25,1,1,0,0,0,8,2,0,0,1,4.2,46.5
142,Ike Taylor,PIT,CB,12,25,7,1,0,0,0,13,1,0,0,0,3.8,45.5
